epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,791.746,0.88453,1.3559,0.7663,1.03098,0.70235,0.66667,0.68537,0.49497,0.69012,0.65556,0.68579,0.47385,1.05108,1.77899,1.02094,1.17471,0.000283085,0.000283085,0.000283085
83,801.055,0.87845,1.36856,0.73458,1.01443,0.69177,0.71111,0.69464,0.49959,0.69177,0.71111,0.69149,0.47192,1.08435,1.7895,1.05385,1.22551,0.000268938,0.000268938,0.000268938
84,810.611,0.87959,1.38845,0.75406,1.02736,0.71859,0.75556,0.72838,0.51337,0.71859,0.75556,0.72519,0.48827,1.06275,1.82203,1.02066,1.2176,0.000254791,0.000254791,0.000254791
85,819.979,0.85683,1.34957,0.76305,1.01795,0.7323,0.72222,0.68853,0.50534,0.71331,0.71111,0.69116,0.47837,1.05358,1.79515,1.06316,1.21932,0.000240644,0.000240644,0.000240644
86,829.477,0.8693,1.32819,0.749,1.01759,0.67564,0.72501,0.70649,0.4999,0.67771,0.7542,0.70002,0.48256,1.03381,1.74953,1.01679,1.18817,0.000226497,0.000226497,0.000226497
87,838.938,0.8541,1.37456,0.74747,1.0133,0.70323,0.74228,0.72327,0.51814,0.69255,0.75556,0.72424,0.49411,1.06294,1.77519,1.00084,1.21358,0.000212349,0.000212349,0.000212349
88,848.415,0.84702,1.32768,0.74393,1.0096,0.69575,0.71242,0.71038,0.51019,0.69575,0.71242,0.70575,0.48364,1.07349,1.80019,1.03142,1.22386,0.000198202,0.000198202,0.000198202
89,857.87,0.84895,1.33789,0.74374,1.00973,0.67277,0.73333,0.71804,0.51012,0.67814,0.74444,0.71764,0.48411,1.04008,1.78237,1.00868,1.1823,0.000184055,0.000184055,0.000184055
90,867.618,0.84561,1.35341,0.71923,1.00388,0.69717,0.76267,0.71895,0.51429,0.68682,0.75181,0.71656,0.49176,1.02567,1.75066,0.99533,1.17223,0.000169908,0.000169908,0.000169908
91,889.364,0.76093,1.18107,0.64661,0.96934,0.67401,0.72768,0.69758,0.50344,0.64947,0.74174,0.70306,0.48652,1.032,1.84448,1.00846,1.17667,0.000155761,0.000155761,0.000155761
92,896.996,0.71283,1.14917,0.58369,0.94232,0.67286,0.69438,0.68837,0.50011,0.67286,0.69438,0.68428,0.47399,1.0337,1.89824,0.98717,1.18996,0.000141614,0.000141614,0.000141614
93,904.7,0.72949,1.16339,0.57081,0.94739,0.67946,0.75556,0.72724,0.52653,0.67946,0.75556,0.72422,0.49649,1.03018,1.88243,0.9505,1.17672,0.000127467,0.000127467,0.000127467
94,912.731,0.71117,1.12091,0.53867,0.9346,0.71695,0.74444,0.74205,0.53585,0.71695,0.74444,0.74426,0.50992,1.0498,1.87353,0.94931,1.18951,0.00011332,0.00011332,0.00011332
95,920.489,0.68949,1.10215,0.53954,0.93516,0.75712,0.72521,0.73662,0.53204,0.75712,0.72521,0.73203,0.50836,1.06257,1.86981,0.97963,1.21135,9.91726e-05,9.91726e-05,9.91726e-05
96,928.137,0.69653,1.09488,0.53756,0.93427,0.73855,0.73889,0.72566,0.52726,0.73855,0.73889,0.71864,0.50518,1.04435,1.88373,0.97364,1.2,8.50255e-05,8.50255e-05,8.50255e-05
97,935.77,0.69225,1.10554,0.53313,0.94609,0.76834,0.74444,0.72201,0.51958,0.76528,0.75712,0.71382,0.50218,1.03832,1.89712,0.97968,1.19592,7.08784e-05,7.08784e-05,7.08784e-05
98,943.471,0.68023,1.08631,0.51783,0.93658,0.74457,0.75,0.72918,0.52132,0.74457,0.75,0.72227,0.50683,1.05155,1.90631,0.97977,1.21318,5.67313e-05,5.67313e-05,5.67313e-05
99,951.083,0.68524,1.10974,0.50786,0.93843,0.76009,0.71667,0.73014,0.52032,0.76009,0.71667,0.72673,0.50714,1.05041,1.9138,0.97122,1.21289,4.25842e-05,4.25842e-05,4.25842e-05
100,958.733,0.67835,1.07441,0.52209,0.93489,0.78489,0.71489,0.73971,0.52589,0.75535,0.71667,0.7285,0.50564,1.05049,1.90549,0.96669,1.21097,2.84371e-05,2.84371e-05,2.84371e-05
